Testdaten für Tabelle actors
------------------------------------------
id(auto);actor(varchar)

,"John Travolta"
,"Uma Thurman"
,"Samuel L. Jackson"
,"Tom Hanks"
,"Halle Berry"
,"Hugh Grant"
,"Timothee Chalamet"
,"Armie Hammer"
,"Michael Stuhlbarg"
,"Amy Adams"
,"Jeremy Renner"
,"Forest Whitaker"
,"Yoo Ah-in"
,"Steven Yeun"
,"Jeon Jong-seo"
,"Alejandro Jodorowsky"
,"Brontis Jodorowsky"
,"José Legarreta"
,"Jackie Earle Haley"
,"Patrick Wilson"
,"Carla Gugino"
,"Brad Pitt"
,"Edward Norton"
,"Meat Loaf"
,"Adam Bousdoukos"
,"Moritz Bleibtreu"
,"Pheline Roggan"
,"Arnold Schwarzenegger"
,"Danny DeVito"
,"Kelly Preston"
